epoch,accuracy,loss,val_accuracy,val_loss
0,0.3706061542034149,1.3257060050964355,0.44668588042259216,1.2814205884933472
1,0.63935786485672,0.9886159300804138,0.6685879230499268,0.9313656091690063
2,0.8021035194396973,0.5785791277885437,0.6685879230499268,0.7892045378684998
3,0.8546913862228394,0.41059842705726624,0.7031700015068054,0.7736322283744812
4,0.8867976665496826,0.3111414611339569,0.6945244669914246,0.8354918956756592
5,0.9147523045539856,0.2527742087841034,0.6772334575653076,0.9505376815795898
6,0.9357874393463135,0.20785576105117798,0.6887608170509338,0.9735721945762634
7,0.9460282325744629,0.1767617017030716,0.6829971075057983,1.05589759349823
8,0.9515637755393982,0.15079575777053833,0.6916426420211792,1.0877606868743896
9,0.9623581767082214,0.13066238164901733,0.6829971075057983,1.13825261592865
10,0.9651259183883667,0.11663753539323807,0.6628242135047913,1.2239912748336792
11,0.9698311686515808,0.10610220581293106,0.6858789920806885,1.2633665800094604
12,0.9731525182723999,0.0943245217204094,0.6628242135047913,1.2940559387207031
13,0.9709382653236389,0.09425074607133865,0.6685879230499268,1.3786156177520752
14,0.974259614944458,0.08602321892976761,0.6657060384750366,1.392845869064331
15,0.9745364189147949,0.08244671672582626,0.680115282535553,1.449303388595581
16,0.9753667116165161,0.0757756382226944,0.6599423885345459,1.4294211864471436
17,0.973429262638092,0.07815606147050858,0.6628242135047913,1.4435502290725708
18,0.9761970639228821,0.0714370608329773,0.6657060384750366,1.491505742073059
19,0.9759202599525452,0.06870156526565552,0.6714697480201721,1.5227572917938232
20,0.9761970639228821,0.06841016560792923,0.6743515729904175,1.481720209121704
21,0.9786880612373352,0.0628630593419075,0.6772334575653076,1.5557866096496582
22,0.9784113168716431,0.05916977301239967,0.6599423885345459,1.5622618198394775
23,0.9767506122589111,0.06022673845291138,0.6772334575653076,1.5633392333984375
24,0.9775809645652771,0.061533123254776,0.680115282535553,1.5872178077697754
